,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,cluster
2004,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2005,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2006,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2007,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2008,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2009,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2010,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2011,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2012,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2013,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2014,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2015,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2016,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2017,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2018,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2019,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2020,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2021,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2022,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2023,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2024,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2025,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2026,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2027,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2028,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2029,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2030,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2031,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2032,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2033,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2034,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2035,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2036,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2037,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2038,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2039,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2040,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2041,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2042,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2043,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2044,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2045,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2046,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2047,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2048,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2049,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2050,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2051,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2052,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2053,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2054,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2055,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2056,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2057,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2058,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2059,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2060,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2061,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2062,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2063,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2064,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2065,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2066,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2067,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2068,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2069,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2070,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2071,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2072,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2073,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2074,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2075,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2076,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2077,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2078,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2079,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2080,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2081,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2082,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2083,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2084,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2085,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2086,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2087,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2088,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2089,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2090,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2091,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2092,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2093,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2094,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2095,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2096,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2097,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2098,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2099,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2100,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2101,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2102,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2103,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2104,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2105,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2106,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2107,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2108,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2109,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2110,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2111,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2112,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2113,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2114,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2115,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2116,0.397,0.499,-10.972,0.0685,0.0766,1.55e-06,0.111,171.067,2
2117,0.791,0.754,-3.729,0.0569,0.00446,0.0,0.163,125.014,9
2118,0.754,0.806,-3.177,0.0842,0.00338,0.0,0.033,119.973,9
2119,0.728,0.859,-5.237,0.137,0.0401,0.0,0.111,65.043,9
2120,0.435,0.837,-8.126,0.449,0.00676,0.0,0.117,124.913,8
2121,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,127.975,9
2122,0.66,0.867,-4.285,0.116,0.11,0.0,0.0368,93.033,3
2123,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,120.011,9
2124,0.688,0.853,-5.814,0.0493,0.386,0.0,0.0862,103.993,9
2125,0.789,0.706,-4.233,0.0429,0.112,1.71e-05,0.0586,125.911,9
2126,0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,110.444,0
2127,0.768,0.82,-4.63,0.0474,0.179,0.0,0.689,129.965,5
2128,0.669,0.9,-4.676,0.0278,0.00157,0.0,0.077,122.038,3
2129,0.663,0.861,-3.398,0.109,0.0338,0.0,0.082,119.963,3
2130,0.703,0.81,-4.874,0.0424,0.000315,0.0,0.216,102.978,12
2131,0.73,0.769,-5.114,0.0298,0.138,0.0,0.0473,104.948,9
2132,0.638,0.826,-4.968,0.0479,0.139,0.0,0.0803,124.072,3
2133,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,120.021,9
2134,0.706,0.89,-4.444,0.0688,0.0588,0.00286,0.306,128.011,12
2135,0.587,0.828,-5.108,0.161,0.00327,0.0,0.331,123.907,12
2136,0.865,0.521,-6.932,0.0371,0.548,0.000115,0.0989,129.059,15
2137,0.722,0.761,-4.459,0.0475,0.0117,0.0,0.315,128.044,12
2138,0.378,0.638,-5.576,0.075,0.02,7.66e-05,0.0849,184.086,14
2139,0.751,0.736,-4.168,0.156,0.0206,0.0,0.265,130.014,12
2140,0.734,0.766,-4.485,0.0383,0.025,0.00138,0.108,127.986,9
2141,0.723,0.86,-4.357,0.203,0.271,4.56e-06,0.598,126.979,5
2142,0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,124.99,9
2143,0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,122.019,9
2144,0.671,0.939,-3.206,0.161,0.191,0.0,0.298,129.024,12
2145,0.722,0.851,-3.873,0.0639,0.0319,0.0,0.108,126.885,3
2146,0.556,0.319,-8.251,0.0281,0.893,0.0,0.0996,135.187,4
2147,0.651,0.812,-3.797,0.0409,0.00125,3.01e-05,0.667,126.023,5
2148,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,174.915,1
2149,0.769,0.684,-5.019,0.0411,0.0105,0.000125,0.0887,127.972,9
2150,0.736,0.817,-4.9,0.0407,0.00987,0.00167,0.117,119.95,9
2151,0.73,0.777,-5.194,0.0496,0.105,0.000478,0.0691,130.0,9
2152,0.646,0.795,-3.293,0.0976,0.0319,0.0,0.267,89.99,12
2153,0.707,0.861,-4.225,0.316,0.1,0.0,0.191,130.021,8
2154,0.858,0.678,-3.87,0.0469,0.0761,0.0,0.0741,117.009,9
2155,0.758,0.557,-4.568,0.034,0.0117,0.0,0.0418,126.986,9
2156,0.699,0.732,-6.307,0.0304,0.0771,0.00198,0.131,120.028,9
2157,0.565,0.646,-4.749,0.0335,0.0412,0.0,0.362,91.973,12
2158,0.62,0.869,-5.252,0.175,0.0181,0.0,0.369,151.684,7
2159,0.634,0.69,-7.804,0.052,0.0771,0.0,0.132,94.988,17
2160,0.693,0.705,-5.747,0.0665,0.0228,0.0,0.202,131.951,1
2161,0.689,0.78,-4.945,0.126,0.0886,0.0,0.0954,99.984,9
2162,0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,107.993,3
2163,0.753,0.729,-3.862,0.0392,0.00334,5.66e-05,0.073,120.013,9
2164,0.668,0.857,-2.944,0.0535,0.0191,6.71e-06,0.0385,131.959,3
2165,0.63,0.894,-4.592,0.0544,0.255,0.0,0.181,142.051,3
2166,0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.121,85.984,17
2167,0.597,0.919,-2.954,0.0439,0.000145,0.0,0.282,113.991,3
2168,0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,110.015,12
2169,0.562,0.939,-4.282,0.0475,0.046,0.0,0.112,116.044,3
